dep,nivel,carrera,sexo,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
ENARQ,Maestria,Tecnologia (restauración de monumentos),Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,7,4,,,,,18,,16,
ENARQ,Maestria,Urbanismo,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,12,14,27,14,,38,61,137,54,,83,
ENARQ,Maestria,Urbanismo,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,,3,2,19,5,,34,
ENAP,General,General,Hombres,243,494,506,355,263,183,129,247,280,412,279,358,370,344,410,346,412,295,331,351,398,439,443,430,431,619,501,566,683,667,546,554,538,618,652,600,668,734,791,634,532,401,383,410,377,470,382,504,446,544,574,
ENAP,General,General,Mujeres,68,73,69,46,37,39,53,58,61,68,63,53,51,43,42,45,48,62,79,65,82,87,91,107,113,96,92,81,80,79,75,66,94,122,124,122,147,165,189,160,153,100,107,142,110,169,114,216,172,288,317,
ENAP,Tecnico,Artes aplicadas,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,71,88,86,67,65,69,93,66,4,,,,,,,,,,,,
ENAP,Tecnico,Artes aplicadas,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,3,3,4,11,14,9,14,3,,,,,,,,,,,,
ENAP,Tecnico,Escultura,Hombres,,,,,,,,,,,,,,,,,,,,,,267,258,277,239,292,,158,221,,,,,,,,,,,,,,,,,,,,,,,
ENAP,Tecnico,Escultura,Hombres,,,,,,,,,,,,58,57,64,100,81,86,86,79,89,,,,,,,,,,39,15,11,18,11,16,15,15,20,26,22,18,5,11,16,6,,2,,,,,
ENAP,Tecnico,Escultura,Mujeres,,,,,,,,,,,,22,23,18,9,20,23,31,29,26,,,,,,,,,,1,3,1,1,2,1,1,3,5,11,8,8,1,2,3,1,,2,,,,,
ENAP,Tecnico,Dibujo publicitario,Total,,,,,,,,,,,,,,,,,,,,,,176,187,193,240,339,,415,509,,,,,,,,,,,,,,,,,,,,,,,
ENAP,Tecnico,Dibujo publicitario,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,319,259,249,313,378,334,360,365,384,433,97,,148,97,56,26,8,3,,,,
ENAP,Tecnico,Dibujo publicitario,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,27,9,25,34,40,37,43,40,48,61,22,,20,17,8,3,2,,,,,
ENAP,Tecnico,Grabado,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,1,11,4,1,9,9,8,8,10,2,,7,6,,,,,,,,
ENAP,Tecnico,Grabado,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,2,1,2,,,2,2,2,,1,3,,,,,,,,
ENAP,Tecnico,Cursos para obreros,Hombres,,,,,,,,,,,,231,237,242,292,236,289,184,205,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENAP,Tecnico,Cursos para obreros,Mujeres,,,,,,,,,,,,15,16,5,12,8,11,18,14,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENAP,Tecnico,Pintura,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,85,82,74,75,81,79,108,128,130,109,99,16,67,65,32,26,23,,,,,
ENAP,Tecnico,Pintura,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,31,26,27,24,30,31,43,55,49,60,52,16,33,35,11,12,8,,,,,
ENAP,Tecnico,Auxiliar en Escultura,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
ENAP,Tecnico,Auxiliar en Escultura,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,3,,,,,,
ENAP,Tecnico,Auxiliar en grabado,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
ENAP,Tecnico,Auxiliar en grabado,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
ENAP,Tecnico,Auxiliar en grabado,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,26,,,,,,
ENAP,Tecnico,Auxiliar en grabado,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,12,,,,,,
ENAP,Licenciatura,Artes visuales,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,88,108,141,107,129,57,132,168,168
ENAP,Licenciatura,Artes visuales,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,45,49,76,54,86,30,92,117,116
ENAP,Licenciatura,Comunicación gráfica,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,212,362,361,315,260,251
ENAP,Licenciatura,Comunicación gráfica,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,36,128,100,127,115,124
ENAP,Licenciatura,Dibujo publicitario,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,306,91,112,164,39,19,,,,,
ENAP,Licenciatura,Dibujo publicitario,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,49,11,20,25,6,2,,,,,
ENAP,Licenciatura,Diseño gráfico,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,91,146,181
ENAP,Licenciatura,Diseño gráfico,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,63,85,100
ENAP,Licenciatura,Escultura,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,6,1,,,1,1,,,,
ENAP,Licenciatura,Escultura,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,,,,,,,,,
ENAP,Licenciatura,Grabado,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,
ENAP,Licenciatura,Grabado,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENAP,Licenciatura,Pintura,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,54,14,14,4,2,5,7,,,,
ENAP,Licenciatura,Pintura,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,32,13,13,6,3,1,,,,,
ENAP,Maestria,Artes plásticas,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
ENAP,Maestria,Artes plásticas,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,
ENAP,Maestria,Escultura,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,
ENAP,Maestria,Escultura,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,1,1,,
ENAP,Maestria,Grabado,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
ENAP,Maestria,Grabado,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,1,,4,,
ENAP,Maestria,Pintura,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,5,1,5,2,3,5,,
ENAP,Maestria,Pintura,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,1,3,1,4,1,,
ENAP,Materias libres y alumnos especiales,Materias libres y alumnos especiales,Hombres,,,,,,,,,,,,69,76,38,18,29,37,25,47,,,,,,,,,,,3,18,130,98,129,109,98,107,120,177,56,,,,,,,,,,,,
ENAP,Materias libres y alumnos especiales,Materias libres y alumnos especiales,Mujeres,,,,,,,,,,,,16,12,20,21,17,14,13,36,,,,,,,,,,,0,8,27,36,57,48,40,44,56,65,26,,,,,,,,,,,,
FC,General,General,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,45,83,,,,,,,,,,,,,,,,,,,,,,,,
FC,General,General,Hombres,,,,,,12,21,50,69,45,43,13,25,8,28,31,23,43,43,25,,,,,,,,,332,518,657,777,936,1071,1109,1248,1420,1602,1806,2000,2250,2392,2384,2863,3264,3264,3316,3602,3737,3473,,
FC,General,General,Mujeres,,,,,,6,4,7,9,15,68,25,7,5,6,7,14,16,9,4,,,,,,,,,198,241,306,349,400,496,572,695,660,765,866,878,1081,1099,1280,1566,1851,1952,1996,2345,2515,2387,,
FC,Tecnico,Computación,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,
FC,Tecnico,Computación,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,,,,,,,,,
FC,Tecnico,Biología,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,14,,,,,,,,,,
FC,Tecnico,Biología,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,,,,,,,,,,
FC,Tecnico,Física,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,17,,,,,,,,,,
FC,Tecnico,Física,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,
FC,Tecnico,Matemáticas,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,
FC,Tecnico,Matemáticas,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,,,,,,,,,,
FC,Licenciatura,Actuaria,Hombres,,,,,,,,,,,,4,7,2,1,1,,4,4,5,,,,,,,,,,47,71,94,142,217,284,302,370,434,472,495,537,624,677,621,684,626,582,572,528,593,559,581
FC,Licenciatura,Actuaria,Mujeres,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,8,9,12,21,39,60,85,110,108,137,157,160,201,247,280,290,334,295,279,334,387,395,364
FC,Licenciatura,Astronomía,Hombres,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,3,5,6,8,5,2,1,4,7,,,,,,,,,,,,,,
FC,Licenciatura,Astronomía,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,3,1,2,2,,,,,,,,,,,,,,
FC,Licenciatura,Biología,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,109,149,173,197,216,212,240,257,283,299,354,377,363,444,611,1024,963,1195,1353,1380,1431,1449
FC,Licenciatura,Biología,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,175,231,231,261,309,339,407,362,397,435,438,505,454,585,758,975,1073,1220,1419,1497,1524,1445
FC,Licenciatura,Física,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,619,682,724,781,708,827,801,819,834,869,969,940,782
FC,Licenciatura,Física,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,86,91,97,730,732,739,147,167,160,172,196,215,147
FC,Licenciatura,Físcia experimental,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,173,202,231,267,289,286,282,275,,,,,,,,,,,,,,
FC,Licenciatura,Físcia experimental,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18,14,26,27,39,37,36,31,,,,,,,,,,,,,,
FC,Licenciatura,Físca teórica,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,88,127,109,126,127,154,188,198,,,,,,,,,,,,,,
FC,Licenciatura,Físca teórica,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,17,23,25,23,35,40,37,,,,,,,,,,,,,,
FC,Licenciatura,Matemáticas,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,62,67,91,109,121,125,131,170,173,232,237,284,301,326,387,448,516,510,522,523,543,417
FC,Licenciatura,Matemáticas,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,18,27,35,38,54,60,74,67,92,111,113,161,165,184,217,199,214,221,226,252,253,189
FC,Especialización,Biología,Hombres,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Especialización,Biología,Mujeres,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Especialización,Física,Hombres,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Especialización,Física,Mujeres,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Especialización,Geología,Hombres,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Especialización,Geología,Mujeres,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Especialización,Matemáticas,Hombres,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Especialización,Matemáticas,Mujeres,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Maestria,Biología,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,55,39,72,58,121,60,106,76,,
FC,Maestria,Biología,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,17,48,43,97,91,144,55,140,113,,
FC,Maestria,Biología Marina,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,42,27,33,6,,,,
FC,Maestria,Biología Marina,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17,16,20,6,,,,
FC,Maestria,Ciencias Químicas. ,Hombres,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Maestria,Ciencias Químicas. ,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Maestria,Profesor de Matem[aticas en eScuela Secundaria yPreparatorias,Hombres,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Maestria,Profesor de Matem[aticas en eScuela Secundaria yPreparatorias,Mujeres,,,,,,,,,,,,,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Maestria,Física,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,28,75,52,105,113,123,80,98,94,,
FC,Maestria,Física,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,13,7,12,23,18,27,22,24,,
FC,Maestria,Geofísica,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,29,44,52,53,39,47,23,44,40,,
FC,Maestria,Geofísica,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,7,5,7,3,5,,
FC,Maestria,F´sicia de materiales,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
FC,Maestria,F´sicia de materiales,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
FC,Maestria,Física de radiaciones,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,
FC,Maestria,Física de radiaciones,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
FC,Maestria,Geología,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16,22,15,19,29,32,13,24,21,,
FC,Maestria,Geología,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,3,2,5,4,5,8,5,,
FC,Maestria,Matemáticas,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,21,21,20,31,28,23,34,15,,
FC,Maestria,Matemáticas,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,11,6,5,6,12,16,13,7,,
FC,Doctorado,Biología,Hombres,,,,,,,,,,,,,,,1,3,5,3,,,,,,,,,,,,1,5,6,9,5,6,7,7,21,36,65,35,40,23,34,15,23,,,,21,,
FC,Doctorado,Biología,Mujeres,,,,,,,,,,,,4,,,,4,8,5,,,,,,,,,,,,2,6,3,10,7,7,15,22,38,40,49,27,37,23,23,19,35,,,,26,,
FC,Doctorado,Biología marina,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
FC,Doctorado,Biología marina,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
FC,Doctorado,Ciencias,Hombres,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Doctorado,Ciencias,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Doctorado,Ciecnias químicas,Hombres,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Doctorado,Ciecnias químicas,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Doctorado,Estudios comunes de doctorado,Total,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,6,26,,,,,,,,,,,,,,,,,,,,,,,
FC,Doctorado,Estudios comunes de doctorado,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Doctorado,Estudios comunes de doctorado,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Doctorado,Física,Hombres,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,1,4,4,11,9,22,20,23,50,44,71,67,53,25,41,21,27,,,,9,,
FC,Doctorado,Física,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,4,11,9,18,17,10,4,3,6,6,,,,2,,
FC,Doctorado,Geología,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,5,3,,,,,,
FC,Doctorado,Geología,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
FC,Doctorado,Matemáticas,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,3,1,1,2,3,8,16,22,9,1,2,3,2,10,,,,2,,
FC,Doctorado,Matemáticas,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,4,8,10,8,1,,,,4,,,,1,,
FC,Materias libres y alumnos especiales,Materias aisladas y alumnos especiales,Hombres,,,,,,,,,,,,4,16,6,22,23,16,31,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC,Materias libres y alumnos especiales,Materias aisladas y alumnos especiales,Mujeres,,,,,,,,,,,,21,2,1,5,3,6,11,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCPyS,Tecnico,Adm de personal de SP,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
FCPyS,Tecnico,Adm de personal de SP,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCPyS,Tecnico,Adm Municipal,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCPyS,Tecnico,Adm Municipal,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
FCPyS,Tecnico,Edición periodística,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
FCPyS,Tecnico,Edición periodística,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCPyS,Tecnico,Investigación política,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
FCPyS,Tecnico,Investigación política,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCPyS,Tecnico,Organización y métodos del sector público,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
FCPyS,Tecnico,Organización y métodos del sector público,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCPyS,Tecnico,Política de Comercio Esterior,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,1,,,,,,
FCPyS,Tecnico,Política de Comercio Esterior,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
FCPyS,Tecnico,Sociología industrial,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
FCPyS,Tecnico,Sociología industrial,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCPyS,Tecnico,Turismo,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,5,17,,,,
